Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C11,C_0402_1005Metric,C1525,1
0.1uF 10V,"C10,C12",C_0402_1005Metric,C1525,2
0.1uF 6.3V,"C16,C18,C33",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663,3
0.1uF 6.3V,"C13,C8",C_0402_1005Metric,C1525,2
100K,"R13,R14,R15,R16,R17,R18",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25741,6
100nF 10V,C6,C_0402_1005Metric,C1525,1
100uF 6.3V,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008,1
10K,"R1,R19,R25,R26,R27,R28,R29,R30,R9",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,9
10K,"R20,R21,R32",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804,3
10uF 10V,"C14,C15,C19,C2,C20,C3,C4",C_0402_1005Metric,C15525,7
10uF 6.3V,"C5,C7",C_0402_1005Metric,C15525,2
10uF 6.3V,C17,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C19702,1
1uF 6.3V,C32,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849,1
22,R2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25092,1
4.7K,"R22,R23,R24",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25900,3
47K,"R10,R12",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25792,2
47uF,C9,C_0805_2012Metric,C16780,1
5.1K,"R6,R7",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25905,2
AS5047P-ATSM_C962063,U7,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,C962063,1
C92589,"SW7,SW8",KEY-SMD_4P-L4.2-W3.2-P2.20-LS5.1-TL,C92589,2
ESP32-S3-WROOM-1U-N16R8,U1,WIRELM-SMD_ESP32-S3-WROOM-1U,C3013946,1
HL-PST-1608H233W(8000-12000K),LED1,LED-SMD_L1.6-W0.8-RD-WHITE-2,C219228,1
PCA9554ARGVR,U6,VQFN-16_L4.0-W4.0-P0.65-TL-EP2.2,C2871207,1
SGM2050XTRL20G/TR,U2,VQFN-20_L3.5-W3.5-P0.50-BL-EP2.1,C5152883,1
TF PUSH,Card1,TF-SMD_TF-PUSH,C393941,1
TMC6300-LA-T_C5274455,U4,QFN-20_L3.0-W3.0-P0.40-BL-EP1.7,C5274455,1
TYPE-C 16PIN 2MD(073),USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1
USBLC6-2SC6,D5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C7519,1
WS2812B-B/W,"LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9",LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,C2761795,16
XY-GH1.25-7A61,U5,CONN-SMD_7P-P1.25_XYECONN_XY-GH1.25-7A61,C19272064,1
SW_Push,SW6,SW_Kailh_Choc_V1_THT,,1
SW_Push,SW5,SW_Kailh_Choc_V1_THT,,1
SW_Push,SW4,SW_Kailh_Choc_V1_THT,,1
SW_Push,SW3,SW_Kailh_Choc_V1_THT,,1
SW_Push,SW2,SW_Kailh_Choc_V1_THT,,1
SW_Push,SW1,SW_Kailh_Choc_V1_THT,,1
Conn_01x05,J5,PinHeader_1x05_P2.54mm_Vertical,,1
Conn_01x03,J2,PinHeader_1x03_P2.54mm_Horizontal,,1
Conn_01x02,J6,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x07,J1,PinHeader_1x07_P2.54mm_Horizontal,,1
